El Padrino|DRAMA|5|A
Volver al Futuro|ACCION|3|A
Titanic|DRAMA|4|A
Matrix|ACCION|6|A
El Rey Leon|COMEDIA|8|A
Terminator 2|ACCION|5|A
El Exorcista|TERROR|2|A
Forrest Gump|DRAMA|7|A
Jurassic Park|ACCION|4|A
Gladiador|ACCION|3|A
Inception|SUSPENSO|5|A
The Dark Knight|ACCION|6|A
Interstellar|CIENCIA FICCION|4|A
Avatar|ACCION|8|A
Pulp Fiction|DRAMA|2|A
Shrek|COMEDIA|9|A
Toy Story|COMEDIA|10|A
Coco|COMEDIA|5|A
La La Land|DRAMA|3|A
Mad Max Fury Road|ACCION|4|A
Parasite|DRAMA|2|B
Oppenheimer|DRAMA|6|A
Barbie|COMEDIA|8|A
Dune|CIENCIA FICCION|3|A
Top Gun Maverick|ACCION|5|A
Avatar 2|GENERO_INVALIDO|7|A
Jaws|TERROR|4|A
Superman|ACCION|-5|A
Spider Man|ACCION|12|A
The Avengers|ACCION|8|A
Iron Man|ACCION|6|A
Captain America|ACCION|4|X
Thor|ACCION|5|A
Hulk|ACCION|3|A
Black Widow|ACCION|2|A
Guardians of the Galaxy|COMEDIA|6|A
Doctor Strange|CIENCIA FICCION|4|A
Ant Man|COMEDIA|3|A
Captain Marvel|ACCION|7|A
Eternals|ACCION|2|A
43;Titulo@#$%&*();COMEDIA;4;A
44;Genero con espacios;CIENCIA  FICCION;5;A
45;Genero numerico;12345;3;A
46;Genero con simbolos;DR@MA;4;A
47;Stock con letras;ACCION;ABC;A
48;Stock negativo;DRAMA;-5;A
49;Stock decimal;TERROR;3.5;A
50;Estado numero;COMEDIA;4;1
51;Estado largo;DRAMA;5;ACTIVO
52;Estado especial;ACCION;3;@
;;;
53;Solo ID y nombre
54;Incompleto;DRAMA
55;Casi completo;ACCION;5
NULL;Titulo NULL;NULL;NULL;NULL
;;;;;
57;   ;DRAMA;5;A
58;Titulo valido final;CIENCIA FICCION;6;A
59;Otra pelicula ok;DOCUMENTAL;4;A
60;Ultimo registro;COMEDIA;7;A
